"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 09- 21","3,030.03","3,001.50","3,035.64","3,001.32","","1.58%"
"2026- 09- 18","2,982.94","2,980.90","2,985.69","2,969.10","","0.06%"
"2026- 09- 17","2,981.29","2,984.48","2,984.77","2,971.23","","1.09%"
"2026- 09- 16","2,949.09","2,970.55","2,977.96","2,930.52","","-0.44%"
"2026- 09- 15","2,962.04","2,973.46","2,973.61","2,956.92","","-0.47%"
"2026- 09- 14","2,976.07","2,969.20","2,986.32","2,964.27","","0.45%"
"2026- 09- 11","2,962.62","2,967.46","2,971.53","2,960.69","","0.78%"
"2026- 09- 10","2,939.61","2,939.70","2,947.45","2,934.58","","-0.59%"
"2026- 09- 09","2,957.11","2,964.17","2,964.56","2,951.50","","-0.49%"
"2026- 09- 08","2,971.62","2,983.42","2,985.55","2,968.24","","-0.54%"
"2026- 09- 04","2,987.78","2,994.92","2,998.32","2,983.32","","-0.42%"
"2026- 09- 03","3,000.53","2,980.43","3,004.31","2,979.01","","1.02%"
"2026- 09- 02","2,970.27","2,960.70","2,975.10","2,956.82","","0.45%"
"2026- 09- 01","2,956.92","2,958.46","2,968.53","2,948.41","","-0.67%"
"2026- 08- 31","2,976.75","2,979.59","2,981.77","2,969.01","","-0.32%"
"2026- 08- 28","2,986.32","2,996.96","3,010.50","2,983.33","","-0.30%"
"2026- 08- 27","2,995.32","2,984.77","3,000.15","2,979.94","","0.66%"
"2026- 08- 26","2,975.68","2,971.33","2,980.67","2,967.65","","0.03%"
"2026- 08- 25","2,974.91","2,977.43","2,978.88","2,965.96","","0.27%"
"2026- 08- 24","2,966.79","2,971.52","2,973.46","2,961.46","","-0.30%"
"2026- 08- 21","2,975.59","2,976.65","2,984.00","2,969.78","","0.37%"
"2026- 08- 20","2,964.56","2,978.00","2,986.32","2,963.21","","-0.87%"
"2026- 08- 19","2,990.58","2,997.25","3,003.73","2,986.99","","0.20%"
"2026- 08- 18","2,984.73","2,989.71","2,992.32","2,982.93","","-0.69%"
"2026- 08- 17","3,005.47","3,019.50","3,020.95","3,004.40","","-0.46%"
"2026- 08- 14","3,019.49","3,028.39","3,029.17","3,016.10","","-0.21%"
"2026- 08- 13","3,025.97","3,014.56","3,032.17","3,011.95","","0.66%"
"2026- 08- 12","3,006.14","3,014.27","3,014.75","3,002.08","","0.27%"
"2026- 08- 11","2,998.12","3,014.56","3,014.56","2,994.16","","-0.35%"
"2026- 08- 10","3,008.66","3,006.15","3,016.20","3,004.22","","-0.02%"
"2026- 08- 07","3,009.15","3,000.73","3,012.24","2,995.70","","0.52%"
"2026- 08- 06","2,993.47","2,998.99","3,005.09","2,988.35","","-0.14%"
"2026- 08- 05","2,997.54","3,020.66","3,025.11","2,996.96","","-0.18%"
"2026- 08- 04","3,002.95","2,963.21","3,011.86","2,962.15","","1.75%"
"2026- 08- 03","2,951.32","2,922.00","2,954.60","2,918.63","","1.47%"
"2026- 07- 31","2,908.56","2,900.35","2,917.17","2,873.55","","0.67%"
"2026- 07- 30","2,889.12","2,865.81","2,893.00","2,862.33","","1.53%"
"2026- 07- 29","2,845.61","2,886.70","2,894.64","2,842.02","","-1.44%"
"2026- 07- 28","2,887.19","2,882.75","2,895.79","2,869.48","","0.21%"
"2026- 07- 27","2,881.19","2,905.27","2,906.63","2,869.01","","-0.01%"
"2026- 07- 24","2,881.38","2,881.33","2,899.96","2,875.19","","0.07%"
"2026- 07- 23","2,879.45","2,883.42","2,895.98","2,867.36","","-1.26%"
"2026- 07- 22","2,916.21","2,911.46","2,925.69","2,911.37","","-0.08%"
"2026- 07- 21","2,918.63","2,910.20","2,922.20","2,903.34","","0.80%"
"2026- 07- 20","2,895.60","2,913.79","2,921.23","2,893.04","","-0.14%"
"2026- 07- 17","2,899.57","2,896.66","2,916.31","2,890.97","","-1.09%"
"2026- 07- 16","2,931.48","2,938.36","2,945.70","2,920.08","","-0.52%"
"2026- 07- 15","2,946.76","2,943.58","2,950.15","2,929.36","","0.36%"
"2026- 07- 14","2,936.23","2,932.64","2,940.91","2,923.55","","0.36%"
"2026- 07- 13","2,925.59","2,937.87","2,943.96","2,921.62","","-0.77%"
"2026- 07- 10","2,948.32","2,936.42","2,950.30","2,923.31","","0.43%"
"2026- 07- 09","2,935.73","2,919.64","2,938.06","2,912.91","","0.81%"
"2026- 07- 08","2,912.05","2,905.09","2,915.34","2,889.66","","-0.33%"
"2026- 07- 07","2,921.82","2,932.35","2,935.20","2,912.92","","-0.49%"
"2026- 07- 06","2,936.32","2,923.85","2,940.77","2,921.86","","0.85%"
"2026- 07- 02","2,911.57","2,922.20","2,937.48","2,893.67","","-0.23%"
"2026- 07- 01","2,918.33","2,913.59","2,931.97","2,903.82","","-0.05%"
"2026- 06- 30","2,919.79","2,900.63","2,927.43","2,899.77","","0.67%"
"2026- 06- 29","2,900.30","2,884.77","2,903.06","2,866.64","","1.68%"
"2026- 06- 26","2,852.28","2,854.89","2,885.45","2,847.29","","-0.70%"
"2026- 06- 25","2,872.35","2,896.00","2,897.63","2,859.10","","-0.05%"
"2026- 06- 24","2,873.75","2,879.93","2,899.91","2,864.46","","-0.06%"
"2026- 06- 23","2,875.49","2,873.85","2,897.83","2,868.63","","-1.46%"
"2026- 06- 22","2,918.23","2,929.46","2,939.51","2,911.95","","-0.30%"
"2026- 06- 18","2,927.13","2,930.81","2,932.73","2,915.33","","0.97%"
"2026- 06- 17","2,898.89","2,937.68","2,941.55","2,890.96","","-1.26%"
"2026- 06- 16","2,935.93","2,951.40","2,953.97","2,933.51","","0.35%"
"2026- 06- 15","2,925.68","2,914.85","2,933.90","2,914.18","","1.72%"
"2026- 06- 12","2,876.07","2,871.13","2,886.41","2,849.96","","0.51%"
"2026- 06- 11","2,861.57","2,827.52","2,870.26","2,810.31","","1.63%"
"2026- 06- 10","2,815.81","2,844.77","2,864.37","2,814.60","","-1.53%"
"2026- 06- 09","2,859.63","2,884.39","2,897.83","2,803.93","","-0.33%"
"2026- 06- 08","2,869.01","2,885.93","2,892.22","2,864.41","","0.22%"
"2026- 06- 05","2,862.63","2,920.17","2,921.52","2,854.98","","-2.63%"
"2026- 06- 04","2,940.00","2,919.73","2,944.45","2,917.65","","0.35%"
"2026- 06- 03","2,929.84","2,942.89","2,945.71","2,925.58","","-0.66%"
"2026- 06- 02","2,949.18","2,939.02","2,952.37","2,938.15","","0.13%"
"2026- 06- 01","2,945.42","2,932.25","2,951.41","2,931.23","","0.25%"
