date,open,high,low,close,change_pct
2018-06-26,1054.5,1058.08,1051.31,1054.21,0.23
2018-06-27,1056.82,1063.01,1044.92,1044.92,-0.88
2018-06-28,1045.12,1054.6,1042.03,1051.6,0.64
2018-06-29,1056.24,1061.85,1052.66,1052.76,0.11
2018-07-02,1045.7,1055.46,1044.73,1055.17,0.23
2018-07-03,1058.76,1059.14,1049.18,1050.78,-0.42
2018-07-05,1056.34,1059.72,1051.12,1059.34,0.81
2018-07-06,1059.34,1070.07,1057.98,1068.23,0.84
2018-07-09,1073.07,1078.1,1072.78,1078.0,0.91
2018-07-10,1080.22,1082.26,1078.78,1081.38,0.31
2018-07-11,1074.9,1078.38,1072.48,1073.74,-0.71
2018-07-12,1079.36,1083.52,1076.55,1083.22,0.88
2018-07-13,1082.45,1085.55,1080.61,1084.38,0.11
2018-07-16,1084.38,1084.96,1081.38,1083.03,-0.12
2018-07-17,1079.84,1089.22,1079.64,1087.67,0.43
2018-07-18,1087.87,1090.13,1085.93,1089.8,0.2
2018-07-19,1086.22,1088.15,1083.32,1085.15,-0.43
2018-07-20,1084.48,1087.18,1083.52,1084.29,-0.08
2018-07-23,1083.27,1086.8,1081.77,1086.22,0.18
2018-07-24,1092.21,1095.21,1087.87,1091.25,0.46
2018-07-25,1090.47,1102.28,1090.38,1101.4,0.93
2018-07-26,1097.44,1101.12,1097.24,1097.83,-0.32
2018-07-27,1099.86,1099.86,1086.61,1090.67,-0.65
2018-07-30,1090.91,1091.54,1082.64,1084.48,-0.57
2018-07-31,1088.3,1092.8,1086.51,1089.51,0.46
2018-08-01,1090.87,1093.09,1085.35,1088.25,-0.12
2018-08-02,1081.38,1094.54,1081.29,1093.95,0.52
2018-08-03,1094.83,1098.69,1093.66,1098.6,0.43
2018-08-06,1098.02,1103.72,1096.95,1102.37,0.34
2018-08-07,1104.88,1107.6,1104.88,1105.86,0.32
2018-08-08,1105.28,1107.31,1103.72,1105.46,-0.04
2018-08-09,1105.57,1107.4,1103.43,1104.21,-0.11
2018-08-10,1097.83,1099.76,1093.28,1096.38,-0.71
2018-08-13,1097.44,1100.05,1090.96,1091.88,-0.41
2018-08-14,1095.31,1099.95,1093.66,1098.8,0.63
2018-08-15,1092.61,1093.47,1084.48,1090.29,-0.77
2018-08-16,1097.05,1103.14,1096.76,1099.57,0.85
2018-08-17,1098.51,1105.28,1096.76,1102.95,0.31
2018-08-20,1105.08,1106.62,1103.14,1105.57,0.24
2018-08-21,1107.6,1111.76,1107.4,1107.98,0.22
2018-08-22,1106.14,1109.53,1105.08,1107.69,-0.03
2018-08-23,1106.48,1110.01,1104.4,1105.57,-0.19
2018-08-24,1108.37,1113.01,1107.98,1112.43,0.62
2018-08-27,1117.36,1121.52,1116.97,1121.04,0.77
2018-08-28,1123.07,1123.55,1119.68,1121.23,0.02
2018-08-29,1122.68,1128.58,1121.52,1127.71,0.58
2018-08-30,1125.39,1126.84,1120.16,1122.59,-0.45
2018-08-31,1120.94,1124.62,1118.71,1122.59,0.0
2018-09-04,1120.56,1122.19,1116.3,1120.94,-0.15
2018-09-05,1119.05,1119.88,1113.2,1117.56,-0.3
2018-09-06,1117.65,1119.11,1109.53,1113.79,-0.34
2018-09-07,1109.34,1115.91,1108.37,1111.65,-0.19
2018-09-10,1116.11,1117.07,1112.82,1113.79,0.19
2018-09-11,1110.49,1119.11,1109.34,1117.46,0.33
2018-09-12,1116.88,1119.88,1114.08,1117.65,0.02
2018-09-13,1121.62,1124.52,1120.74,1123.84,0.55
2018-09-14,1124.66,1125.48,1120.65,1123.94,0.01
2018-09-17,1125.48,1125.68,1118.91,1120.07,-0.34
2018-09-18,1120.94,1128.67,1120.94,1126.45,0.57
2018-09-19,1126.45,1128.96,1125.78,1127.42,0.09
2018-09-20,1132.64,1137.48,1132.06,1136.03,0.76
2018-09-21,1138.93,1139.7,1134.48,1135.26,-0.07
2018-09-24,1132.26,1133.03,1128.78,1131.48,-0.33
2018-09-25,1133.41,1133.52,1129.07,1129.93,-0.14
2018-09-26,1130.52,1135.73,1125.0,1126.45,-0.31
2018-09-27,1128.67,1134.19,1127.33,1129.45,0.27
2018-09-28,1126.64,1131.58,1126.64,1129.16,-0.03
2018-10-01,1135.15,1138.06,1130.61,1133.32,0.37
2018-10-02,1132.64,1135.73,1131.19,1132.55,-0.07
2018-10-03,1136.99,1139.03,1131.77,1133.12,0.05
2018-10-04,1130.81,1131.1,1117.27,1123.84,-0.82
2018-10-05,1124.52,1127.22,1111.56,1117.65,-0.55
2018-10-08,1114.46,1119.39,1108.76,1117.94,0.03
2018-10-09,1116.11,1121.81,1113.79,1116.3,-0.15
2018-10-10,1113.88,1113.88,1079.26,1080.71,-3.19
2018-10-11,1075.68,1082.64,1049.47,1056.72,-2.22
2018-10-12,1074.13,1075.0,1057.02,1071.13,1.36
2018-10-15,1069.3,1074.81,1064.46,1065.13,-0.56
2018-10-16,1073.36,1089.12,1071.04,1087.96,2.14
2018-10-17,1087.96,1090.47,1076.74,1087.48,-0.04
2018-10-18,1083.81,1086.22,1066.49,1071.81,-1.44
2018-10-19,1075.1,1083.32,1068.71,1071.33,-0.04
2018-10-22,1074.23,1075.58,1064.27,1066.59,-0.44
2018-10-23,1049.86,1065.62,1041.63,1060.69,-0.55
2018-10-24,1059.34,1061.27,1026.26,1027.52,-3.13
2018-10-25,1036.22,1053.53,1032.06,1047.05,1.9
2018-10-26,1030.52,1041.54,1016.49,1027.9,-1.83
2018-10-29,1041.63,1047.15,1007.4,1021.9,-0.58
2018-10-30,1021.23,1039.22,1019.68,1038.15,1.59
2018-10-31,1049.28,1058.76,1047.15,1048.69,1.02
